name,amenity,latitude,longitude,kelas
rumah sakit onkologi,hospital,-7.2907427,112.7891647,D
rsia pusura,hospital,-7.2660161,112.7369271,B
rsu haji surabaya,hospital,-7.2826916,112.7795659,B
rumah sakit universitas airlangga,hospital,-7.2699548,112.7843132,B
rumah sakit darmo,hospital,-7.288322,112.7391284,C
rumah sakit jiwa menur provinsi jawa timur,hospital,-7.2855293,112.7610817,A
rumah sakit khusus infeksi,hospital,-7.2701948,112.7865399,D
ciputra hospital,hospital,-7.2813651,112.6335796,B
rumah sakit katolik st. vincentius a paulo (rkz),hospital,-7.2904263,112.7360706,B
rsia ferina surabaya,hospital,-7.2736078,112.7447862,C
rumah sakit angkatan laut dr. ramelan,hospital,-7.3099535,112.7396601,A
national hospital,hospital,-7.2989622,112.6758836,B
rs dkt gubeng pojok,hospital,-7.2651484,112.751606,C
rumah sakit adi husada kapasan,hospital,-7.2427591,112.7516823,A
rumah sakit surabaya medical center,hospital,-7.289131,112.7414678,D
rs mata undaan,hospital,-7.2543117,112.7433509,B
rs ibu dan anak putri,hospital,-7.2905306,112.7825949,C
rs manyar medical centre,hospital,-7.2897913,112.7632308,A
rumah sakit adi husada undaan wetan,hospital,-7.2506653,112.7457118,B
rumah sakit spesialis husada utama,hospital,-7.2644591,112.7561252,B
rumah sakit pura raharja,hospital,-7.2830447,112.7528012,C
siloam hospitals,hospital,-7.2741756,112.7459901,B
rumah sakit mata undaan,hospital,-7.253879,112.74295,A
rsia kendangsari merr,hospital,-7.2508756,112.7836506,B
rsud dr.m.soewandhie,hospital,-7.2453834,112.7578243,B
rumah sakit gotong royong,hospital,-7.3074555,112.7867885,C
klinik estetika,hospital,-7.3086772,112.7398453,C
rumah sakit mitra keluarga,hospital,-7.266596,112.6913247,B
rs kodam brawijaya,hospital,-7.2978638,112.7228983,C
rumah sakit al irsyad,hospital,-7.2280127,112.7410136,C
rumah sakit pku muhammadiyah surabaya,hospital,-7.2297472,112.7411388,D
rumah sakit paru,hospital,-7.2242627,112.7469818,C
rs orthopedi & traumatologi,hospital,-7.2992507,112.6619311,B
rumah sakit marien,hospital,-7.27556,112.6798106,D
rumah sakit lombok dua dua,hospital,-7.2843488,112.6694791,D
rumah sakit wijaya,hospital,-7.312992,112.6916991,D
rs marinir ewa pangalila,hospital,-7.3046162,112.7082057,D
rumah sakit wiyung sejahtera,hospital,-7.3110496,112.6882421,C
rumah sakit ibu dan anak ibi surabaya,hospital,-7.2451812,112.727453,C
rumah sakit upt vertikal surabaya,hospital,-7.2417973,112.7307961,C
rsu bunda surabaya,hospital,-7.2516241,112.6504105,D
rsia kendangsari,hospital,-7.3252321,112.7453392,C
rumah sakit marinir ewa panggalila,hospital,-7.3030268,112.707558,D
rsud eka candrarini,hospital,-7.3266273,112.7829596,B
rumah sakit royal surabaya,hospital,-7.3282518,112.7507759,B
rsia graha medika,hospital,-7.312367,112.6815037,C
rumah sakit muji rahayu,hospital,-7.2572203,112.6707144,D
rumah sakit islam surabaya,hospital,-7.3066816,112.7350261,B
rsia cempaka putih permata,hospital,-7.3215284,112.7132245,C
rsia lombok dua dua surabaya,hospital,-7.2783343,112.7488303,D
rsu bhakti rahayu,hospital,-7.3116216,112.7229044,C
rumah sakit mata masyarakat jawa timur,hospital,-7.3253348,112.7255671,C
rsud dr. soetomo,hospital,-7.2660944,112.7567489,A
rumah sakit william booth surabaya,hospital,-7.2907063,112.7366392,C
rsau soemitro,hospital,-7.2913542,112.7408711,D
rsud bhakti dharma husada,hospital,-7.2560518,112.636672,B
rumah sakit bhayangkara hs samsoeri mertojoso,hospital,-7.3243264,112.729312,B
waron hospital,hospital,-7.2642172,112.7709383,B
rumah sakit islam darus syifa',hospital,-7.2359284,112.6125691,C
rumah sakit islam jemursari surabaya,hospital,-7.3214148,112.7389907,B
rumah sakit phc surabaya,hospital,-7.2088358,112.7351202,B
rumah sakit mitra keluarga kenjeran,hospital,-7.2502526,112.7853589,A
rs premier surabaya,hospital,-7.3053942,112.7649821,B
mayapada hospital,hospital,-7.2922752,112.7275615,C
rumah sakit universitas surabaya,hospital,-7.3144418,112.7655626,B
rsgm nala husada,hospital,-7.2911822,112.7951887,B
klinik gigi rkz,hospital,-7.2931451,112.7354954,C
rs katolik vincentius a poli,hospital,-7.2912069,112.7362614,B
klinik umum dan spesialis ciliwung 26,hospital,-7.2921556,112.7362334,C
PT Mulya Husada Jaya,supplier,-7.328056906,112.7449283,
